Position (mm), Angle (deg), Efficiency
39, -50, 0.00004
39, -60, 0.00000
39, -70, 0.00000
40, -10, 0.89947
40, -20, 0.05083
40, -30, 0.02389
40, -40, 0.00009
40, -50, 0.00005
40, -60, 0.00000
40, -70, 0.00000
41, -10, 0.90014
41, -20, 0.05107
41, -30, 0.02431
41, -40, 0.00003
41, -50, 0.00010
41, -60, 0.00000
41, -70, 0.00000
42, -10, 0.90014
42, -20, 0.05207
42, -30, 0.02422
42, -40, 0.00002
42, -50, 0.00006
42, -60, 0.00000
42, -70, 0.00000
43, -10, 0.90067
43, -20, 0.05413
43, -30, 0.02313
43, -40, 0.00023
43, -50, 0.00004
43, -60, 0.00000
43, -70, 0.00000
44, -10, 0.90021
44, -20, 0.05500
44, -30, 0.00003
44, -40, 0.00034
44, -50, 0.00001
44, -60, 0.00000
44, -70, 0.00000
45, -10, 0.90049
45, -20, 0.05725
45, -30, 0.00000
45, -40, 0.00025
45, -50, 0.00011
45, -60, 0.00000
45, -70, 0.00000
46, -10, 0.89572
46, -20, 0.05655
46, -30, 0.00000
46, -40, 0.00023
46, -50, 0.00008
46, -60, 0.00000
46, -70, 0.00000
47, -10, 0.89885
47, -20, 0.05741
47, -30, 0.00000
47, -40, 0.00032
47, -50, 0.00004
47, -60, 0.00000
47, -70, 0.00000
48, -10, 0.89566
48, -20, 0.00000
48, -30, 0.00000
48, -40, 0.00022
48, -50, 0.00001
48, -60, 0.00000
48, -70, 0.00000
49, -10, 0.89296
49, -20, 0.00000
49, -30, 0.00000
49, -40, 0.00024
49, -50, 0.00004
49, -60, 0.00001
49, -70, 0.00000
50, -10, 0.00000
50, -20, 0.00000
50, -30, 0.00000
50, -40, 0.00031
50, -50, 0.00002
